"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"230","Rashee Rice","KC","wr","10","34","163.1","0","0","0","0","0","0","0","0","0","0","90.077","60.8248","731.5222","4.864","0.5778","0.289","0.1124","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"231","Zack Moss","IND","rb","11","34","130.6","0","0","0","0","0","0","0","134.9938","587.9744","4.004","30.8414","24.771","179.9334","0.9112","1.2574","0.6288","0.0892","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"232","Jonathan Mingo","CAR","wr","7","34","160.9","0","0","0","0","0","0","0","0","0","0","94.5502","59.064","775.1408","4.0568","0.5612","0.2806","0.107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"233","Darius Slayton","NYG","wr","13","34","159.4","0","0","0","0","0","0","0","0","0","0","95.0426","55.864","797.0002","4.0358","1.0374","0.5186","0.0686","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"234","Jalen Tolbert","DAL","wr","7","34","154.3","0","0","0","0","0","0","0","0","0","0","85.3042","53.8678","757.5506","4.0948","0.5086","0.2544","0.1584","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"235","Eric Saubert","MIA","te","10","34","111.4","0","0","0","0","0","0","0","0","0","0","63.68","46.5846","443.6352","3.3894","0.5304","0.2652","0.1696","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"236","Jameson Williams","DET","wr","9","34","153.4","0","0","0","0","0","0","0","0","0","0","82.1572","52.6062","745.592","4.3626","0.4918","0.2458","0.1614","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"237","Mo Alie-Cox","IND","te","11","34","109.6","0","0","0","0","0","0","0","0","0","0","61.7184","43.4814","450.1164","3.5284","0.7424","0.3712","0.159","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"238","Donald Parham Jr.","LAC","te","5","34","106.8","0","0","0","0","0","0","0","0","0","0","56.1972","41.7386","454.028","3.2624","0.465","0.2324","0.1622","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"239","Luke Schoonmaker","DAL","te","7","34","105.8","0","0","0","0","0","0","0","0","0","0","57.6102","41.845","444.1798","3.2432","0.5122","0.2562","0.1876","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
