"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"27","Patrick Mahomes","KC","qb","10","17","354","28","392.9395","596.0348","4393.7759","32.5154","8.2318","25.3851","62.0894","358.0318","3.5757","0","0","0","0","6.6436","3.3218","1.255","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","Garrett Wilson","NYJ","wr","7","17","234.5","28","0","0","0","0","0","0","4.4294","27.218","0.2207","130.0337","84.3191","1097.201","6.0923","0.9593","0.4797","0.191","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","Tee Higgins","CIN","wr","7","17","234.1","28","0","0","0","0","0","0","0","0","0","113.9706","77.8222","1101.9238","7.5269","0.5743","0.2871","0.5818","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","Miles Sanders","CAR","rb","7","17","217.2","27","0","0","0","0","0","0","243.9924","1077.2378","6.438","50.2146","40.6699","244.4943","1.0394","2.1564","1.0782","0.3006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","Jalen Hurts","PHI","qb","10","17","346.7","26","320.1917","508.0686","3774.748","22.0182","10.6481","31.9703","148.8091","763.7537","7.4657","0","0","0","0","9.7886","4.8943","0.9918","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","Mark Andrews","BLT","te","13","17","207.7","26","0","0","0","0","0","0","0","0","0","113.7457","77.6182","929.9243","6.0813","0.8946","0.4473","0.5013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","Jaylen Waddle","MIA","wr","10","17","227.5","26","0","0","0","0","0","0","10.1787","59.3526","0.6008","121.6675","81.7831","1034.875","5.4999","0.9608","0.4804","0.1067","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","Alexander Mattison","MIN","rb","13","17","208.2","25","0","0","0","0","0","0","215.8614","954.6224","6.6712","44.978","37.398","266.7331","1.5416","1.5475","0.7738","0.1031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","Dameon Pierce","HST","rb","7","17","206.9","24","0","0","0","0","0","0","251.4981","1100.1469","6.1445","38.9017","31.6789","224.068","1.2065","3.2142","1.6071","0.1326","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","Chris Olave","NO","wr","11","17","222.3","24","0","0","0","0","0","0","0","0","0","119.1063","74.7299","1124.7118","5.8311","1.0434","0.5217","0.2954","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","James Conner","ARZ","rb","14","17","204.4","24","0","0","0","0","0","0","213.1316","873.6829","7.864","45.2324","37.3629","258.7932","1.3158","2.7137","1.3568","0.0515","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","Jahmyr Gibbs","DET","rb","9","17","203.4","23","0","0","0","0","0","0","174.0005","781.5266","5.7451","55.3611","44.8792","344.4985","1.9636","1.543","0.7715","0.2123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","Kenneth Walker","SEA","rb","5","17","200","22","0","0","0","0","0","0","229.7712","1068.6584","7.8433","32.3676","26.7834","157.286","0.6443","0.9755","0.4877","0.1143","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","Deebo Samuel","SF","wr","9","17","214.9","22","0","0","0","0","0","0","40.8729","242.9375","2.8672","91.0654","62.4571","829.8608","4.7831","1.9327","0.9663","0.1083","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","Keenan Allen","LAC","wr","5","17","211.8","21","0","0","0","0","0","0","3.8418","17.1144","0.1842","118.914","86.3117","933.4448","4.9383","0.9463","0.4732","0.0787","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","James Cook","BUF","rb","13","17","195.2","21","0","0","0","0","0","0","190.675","888.8892","4.9826","45.5379","36.0881","311.2945","1.6303","1.634","0.817","0.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","Diontae Johnson","PIT","wr","6","17","210.9","21","0","0","0","0","0","0","7.4487","43.4215","0.3703","127.3446","84.0579","894.3305","5.0563","0.9456","0.4728","0.4768","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","T.J. Hockenson","MIN","te","13","17","184.7","20","0","0","0","0","0","0","0","0","0","99.2156","72.5521","767.1934","5.8058","0.5525","0.2762","0.4176","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","Terry McLaurin","WAS","wr","14","17","205.4","19","0","0","0","0","0","0","6.1195","35.9523","0.3145","113.1085","71.4623","995.8258","4.8231","0.4963","0.2481","0.0872","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","J.K. Dobbins","BLT","rb","13","17","189.3","19","0","0","0","0","0","0","213.5026","1015.8274","7.4625","25.918","20.6682","157.3311","1.1959","1.682","0.841","0.1051","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","Rachaad White","TB","rb","5","17","188.8","19","0","0","0","0","0","0","203.6511","855.8202","5.212","47.1046","38.3045","251.8087","1.4956","1.4568","0.7284","0.1285","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","Christian Kirk","JAX","wr","9","17","204.5","19","0","0","0","0","0","0","7.4563","38.173","0.3806","108.9961","72.5397","919.0358","5.6793","0.4498","0.2249","0.0706","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","DeVonta Smith","PHI","wr","10","17","204.5","19","0","0","0","0","0","0","0","0","0","113.1024","75.5181","975.3596","5.2352","0.5651","0.2825","0.1485","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","Mike Evans","TB","wr","5","17","200.2","18","0","0","0","0","0","0","0","0","0","111.7857","67.0475","946.9358","6.4037","0.3134","0.1567","0.076","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","D'Andre Swift","PHI","rb","10","17","184.1","18","0","0","0","0","0","0","147.3203","684.2907","5.4929","54.2538","44.5822","288.0264","1.5921","1.1754","0.5877","0.1714","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","Tyler Lockett","SEA","wr","5","17","198.1","17","0","0","0","0","0","0","0","0","0","98.5658","70.0557","961.5011","5.2826","0.5724","0.2862","0.2657","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","Joe Burrow","CIN","qb","7","17","314.6","17","358.5921","532.418","4183.859","30.7609","9.962","43.0832","61.6206","196.1127","2.536","0","0","0","0","5.8055","2.9028","1.1259","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","D.K. Metcalf","SEA","wr","5","17","197.1","17","0","0","0","0","0","0","0","0","0","111.6644","71.0536","920.8994","5.713","1.0015","0.5008","0.0835","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","Isiah Pacheco","KC","rb","10","17","181.1","17","0","0","0","0","0","0","197.2906","893.3447","6.3874","33.2268","27.6864","203.1315","1.0898","2.5593","1.2796","0.0779","701.2207","0.5049","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","David Montgomery","DET","rb","9","17","178.8","16","0","0","0","0","0","0","205.2185","851.7804","6.5227","32.4831","26.3155","216.8403","1.1803","1.3742","0.6871","0.0583","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","Cam Akers","LA","rb","10","17","176.5","16","0","0","0","0","0","0","203.4651","847.7636","5.6921","36.9319","29.7325","230.5727","0.9749","2.5125","1.2563","0.1043","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","Lamar Jackson","BLT","qb","13","17","309.5","16","295.2728","490.8989","3330.1219","19.9327","10.1572","43.8438","146.5818","883.6628","3.5252","0","0","0","0","9.2297","4.6148","0.8939","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","Mike Williams","LAC","wr","5","17","191.3","15","0","0","0","0","0","0","0","0","0","103.6306","67.1194","935.5191","5.0803","0.3622","0.1811","0.1793","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","Amari Cooper","CLV","wr","5","17","189.1","15","0","0","0","0","0","0","0","0","0","108.5024","66.8623","919.2105","5.0707","0.5345","0.2673","0.0727","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","Alvin Kamara","NO","rb","11","17","172.7","15","0","0","0","0","0","0","140.7136","581.7864","3.8642","55.5157","44.4751","341.7625","2.2087","1.3088","0.6544","0.0265","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","Drake London","ATL","wr","11","17","187.7","14","0","0","0","0","0","0","0","0","0","112.8829","70.2391","884.0668","4.8507","1.2062","0.6031","0.2586","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","AJ Dillon","GB","rb","6","17","171","14","0","0","0","0","0","0","170.2306","716.7958","5.4015","43.034","34.106","256.5708","1.2784","1.1912","0.5956","0.0505","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","Javonte Williams","DEN","rb","9","17","170.6","14","0","0","0","0","0","0","189.7416","876.3914","5.2762","34.0844","27.6954","183.6163","0.9986","1.9633","0.9817","0.1014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","George Kittle","SF","te","9","17","164.4","14","0","0","0","0","0","0","0","0","0","79.7342","58.5187","749.3134","5.1183","0.9018","0.4509","0.3301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","Darren Waller","NYG","te","13","17","164.3","14","0","0","0","0","0","0","0","0","0","88.156","58.9279","763.5821","4.8465","0.5136","0.2568","0.1055","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","Jerry Jeudy","DEN","wr","9","17","185.3","14","0","0","0","0","0","0","6.2774","37.4801","0.3464","107.1034","69.454","853.8739","4.0968","0.5382","0.2691","0.1443","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","DeAndre Hopkins","TEN","wr","7","17","183.5","13","0","0","0","0","0","0","0","0","0","100.47","68.5064","841.2593","5.1895","0.8484","0.4242","0.1016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","JuJu Smith-Schuster","NE","wr","11","17","183.2","13","0","0","0","0","0","0","0","0","0","103.9249","76.265","814.8016","4.2862","1.1258","0.5629","0.1663","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","Kadarius Toney","KC","wr","10","17","182.7","13","0","0","0","0","0","0","14.136","87.2986","0.8058","90.6761","67.6729","715.9522","5.0772","1.6411","0.8206","0.1136","332.4119","0.3183","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"71","George Pickens","PIT","wr","6","17","181.5","12","0","0","0","0","0","0","0","0","0","96.3162","57.0361","914.7502","5.4781","0.4443","0.2222","0.1779","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","Christian Watson","GB","wr","6","17","180.1","12","0","0","0","0","0","0","0","0","0","104.5112","63.4045","879.3049","4.7893","0.5216","0.2608","0.1272","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","Dallas Goedert","PHI","te","10","17","157.7","12","0","0","0","0","0","0","0","0","0","79.9326","59.8403","702.962","4.6065","0.7865","0.3933","0.1517","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"74","Antonio Gibson","WAS","rb","14","17","162.5","12","0","0","0","0","0","0","125.9197","512.6085","3.3946","60.0316","47.3453","339.4676","1.7387","2.5242","1.2621","0.2017","734.2138","0.4818","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","Michael Pittman Jr.","IND","wr","11","17","178.2","12","0","0","0","0","0","0","0","0","0","109.2981","74.7143","819.0229","3.6388","0.9951","0.4975","0.1022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","Daniel Jones","NYG","qb","13","17","294.2","11","327.2346","512.1111","3487.4899","19.7887","9.8932","45.9306","106.016","613.9372","4.5461","0","0","0","0","10.843","5.4215","1.105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
